Алиса	Вес	Внешний вид	Габаритные размеры (В*Ш*Г)	Габаритные размеры (В*Ш*Д)	Гарантия	Гарантия предоставляется	Диапазон температур	Длина сетевого шнура	Заваривание чая	Залив воды без открытия крышки	Звуковой сигнал при закипании	Индикация	Количество режимов нагрева	Количество стенок	Максимальный объем	Маруся	Материал корпуса	Объем	Отключение при закипании	Отключение при отсутствии воды	Отключение при снятии	Отложенный старт	Отсек для сетевого шнура	Подключение	Подсветка корпуса	Потребляемая мощность	Работает в системе Умный дом	Регулировка температуры	Салют	Сенсорное управление	Смартфон в качестве пульта ДУ	Состояние	Сохранение тепла	Способ открытия крышки	Срок службы	Страна	Технология снижения уровня шума	Тип нагревательного элемента	Фильтр от накипи	Функция	Цвет	Цвет подсветки корпуса	Цифровой дисплей	Экосистема
	0.82		22.5*16*21 см		1 год	продавцом	80-100 *С	0.75	Да			включения, уровня воды	1	1	1.8		термостойкое стекло		Да	Да	Да		Да		Да	1500						новый		кнопка на корпусе		Китай		ТЭН		заваривание чая	черный	голубой		отсутствует
	1.1		22.3*25.6*16 см		1 год	производителем	40-100 *С	0.7			Да	включения, уровня воды, температуры	4	2	1.7		пластик		Да	Да	Да		Да			2200		Да		Да		новый	Да	кнопка на корпусе		Китай		ТЭН	Да	поддержание температуры	черный	белый	Да	отсутствует
	1.6		27.5*22.6*17.1 см		1 год	производителем	50 *С	1			Да	включения, уровня воды, температуры	8		1.7		нержавеющая сталь		Да	Да	Да					2400		Да								Китай		ТЭН	Да	поддержание температуры	розовый			
	1.25	новый	24.5*24.2*17 см		1 год	производителем	99-100 *С	0.7				включения, уровня воды	1	1	1.7		стекло/ пластик		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		закрытая спираль	Да		черный	голубой		
	1.6	новый	24.8*22.6*17.1 см		1 год	производителем	100 *С	1				включения, уровня воды	1		1.7		нержавеющая сталь/ пластик		Да	Да	Да					2400						новый		кнопка на корпусе		Китай		ТЭН	Да		черный матовый			отсутствует
	1.6		27.5*22.6*17.1 см		1 год	производителем	50 *С	1			Да	включения, уровня воды, температуры	8		1.7		нержавеющая сталь		Да	Да	Да					2400		Да								Китай		ТЭН	Да	поддержание температуры	зеленый			
	1	новый	22*19*22.6 см		2 года	производителем	40-100 *С	0.7		Да		включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2400						новый		нажатие		Китай	Да	диск	Да	снижения уровня шума	нержавеющая сталь/ черный			
	1.8		27.5*22.6*17.1 см		1 год	производителем	50 *С	1			Да	включения, уровня воды, температуры	8		1.7		нержавеющая сталь		Да	Да	Да					2400		Да								Китай		ТЭН	Да	поддержание температуры	красный			
	1.4		24*21.5*21.5 см		2 года	производителем	40-100 *С	0.8				включения, уровня воды	1	1	1.7		стекло/ металл/ пластик		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		закрытая спираль	Да		прозрачный/ черный/ серебристый	голубой		отсутствует
	0.64		23.2*14.2*22 см		1 год	продавцом	40-100 *С	0.8				включения	1	1	1.8		нержавеющая сталь/ пластик		Да	Да	Да		Да			1500						новый		нажатие		Китай		диск			черный/ серебристый	отсутствует		отсутствует
	0.4		15*10*130 см		1 год	производителем	40-90 *С	0.7				включения, температуры	6	2	0.4		металл/ пластик		Да	Да						530		Да		Да			Да	кнопка на корпусе		Китай	Да	диск	Да	поддержание температуры, снижения уровня шума	молочный		Да	отсутствует
	1.3	новый	27*17.5*25 см		1 год	производителем	100 *С	0.7				включения, уровня воды, температуры	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2150						новый		полностью съемная		Китай		ТЭН	Да		белый/ золотистый	отсутствует		отсутствует
	1.15	новый	26*15.5*23 см		1 год	производителем	99-100 *С	0.6				включения	1	2	1.5		пластик/ нержавеющая сталь		Да	Да	Да		Да		Да	1800						новый	Да	кнопка на корпусе		Китай		диск			черный			отсутствует
	1.3	новый	25.5*24*22.9 см		1 год	производителем	40-100 *С	0.7			Да	включения, уровня воды, температуры	6	1	1.7		стекло		Да	Да	Да		Да		Да	2200		Да				новый	Да	нажатие		Китай		ТЭН	Да	поддержание температуры	черный/ серебристый	синий	Да	отсутствует
	1.36	новый	24.5*20.6*18.4 см		2 года	производителем	100 *С	0.9				включения, уровня воды	1	1	1.5		пластик		Да	Да	Да		Да			2200						новый		нажатие		Китай		диск	Да		белый	отсутствует		отсутствует
	1.3	новый	27*17.5*25 см		1 год	производителем	100 *С	0.7				включения, уровня воды, температуры	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2150						новый		полностью съемная		Китай		ТЭН	Да		черный/ серебристый	отсутствует		отсутствует
	1.05	новый	25*20.9*15.8 см		1 год	производителем	40-100 *С	0.6			Да	включения, уровня воды, температуры	7	1	1.7		нержавеющая сталь/ стекло/ пластик		Да	Да	Да		Да		Да	2200		Да		Да		новый		нажатие		Китай		ТЭН	Да	поддержание температуры	прозрачный/ черный	разноцветный	Да	отсутствует
	1.019	новый	24.6*16*24.3 см		2 года	производителем	100 *С	0.5				включения, уровня воды	1	1	1.7		пластик		Да	Да	Да					2400						новый		кнопка на корпусе		Китай		диск	Да		Серый	отсутствует		отсутствует
	3	новый	26.5*38.5*22 см		1 год	производителем	40-100 *С	0.75	Да		Да	уровня воды, температуры	2	1	1.7		нержавеющая сталь/ стекло		Да	Да	Да		Да			2200		Да				новый		нажатие		Китай		ТЭН		заваривание чая, поддержание температуры	нержавеющая сталь/ прозрачный	отсутствует	Да	отсутствует
	1.2	новый	23*22*15.5 см		1 год	производителем	100 *С	0.72				включения, уровня воды	1	1	1.5		нержавеющая сталь/ стекло		Да	Да	Да		Да		Да	2200						новый		нажатие		Китай		ТЭН	Да		нержавеющая сталь	голубой		отсутствует
	1.1		25*22.5*15.5 см		1 год	производителем	40-100 *С	0.7		Да	Да	включения, температуры	5	2	1.7		пластик/ металл		Да	Да	Да		Да			2000		Да		Да			Да	кнопка на корпусе		Китай		диск		поддержание температуры	черный		Да	отсутствует
	1.3	новый	26.5*20*23.2 см		1 год	производителем	60-100 *С	0.7			Да	включения, уровня воды, температуры	5	1	1.7		металл/ пластик		Да	Да	Да		Да			2200		Да				новый	Да	нажатие		Китай		ТЭН	Да	поддержание температуры	черный	отсутствует	Да	отсутствует
	1.34	новый	27*24*21 см		1 год	производителем	35-100 *С	1			Да	включения, уровня воды, температуры	66	1	2		стекло/ нержавеющая сталь/ пластик		Да	Да	Да		Да		Да	2000		Да		Да		новый	Да			Китай		диск	Да	поддержание температуры	черный	голубой	Да	
	0.95	новый	23.1*20.4*21.5 см		1 год	производителем	100 *С	0.7				включения, уровня воды	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый		полностью съемная		Китай		ТЭН	Да		белый	отсутствует		отсутствует
	0.92	новый	24*22*18 см		3 года	производителем	100-100 *С	0.7				включения, уровня воды	5	2	1.7		металл/ стекло		Да	Да	Да	Да	Да		Да	2200		Да		Да	Да	новый		нажатие		Китай		диск	Да	поддержание температуры	серебристый/ прозрачный	разноцветный		
	1.6		24.8*22.6*17.1 см		1 год	производителем	100-100 *С	1				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2.4								кнопка на корпусе		Китай		закрытая спираль			матовый синий			отсутствует
