Алиса	Вес	Внешний вид	Габаритные размеры (В*Ш*Г)	Габаритные размеры (В*Ш*Д)	Гарантия	Гарантия предоставляется	Диапазон температур	Длина сетевого шнура	Заваривание чая	Залив воды без открытия крышки	Звуковой сигнал при закипании	Индикация	Количество режимов нагрева	Количество стенок	Максимальный объем	Маруся	Материал корпуса	Объем	Отключение при закипании	Отключение при отсутствии воды	Отключение при снятии	Отложенный старт	Отсек для сетевого шнура	Подключение	Подсветка корпуса	Потребляемая мощность	Работает в системе Умный дом	Регулировка температуры	Салют	Сенсорное управление	Смартфон в качестве пульта ДУ	Состояние	Сохранение тепла	Способ открытия крышки	Срок службы	Страна	Технология снижения уровня шума	Тип нагревательного элемента	Фильтр от накипи	Функция	Цвет	Цвет подсветки корпуса	Цифровой дисплей	Экосистема
	1.12		24.4*21.6*16.1 см		1 год	производителем	20-100 *С	0.7				включения	1	1	1.7		боросиликатное стекло		Да	Да	Да		Да		Да	2200						новый	Да	нажатие		Китай		диск	Да		прозрачный	голубой		отсутствует
	0.89	новый	23.5*17*20.5 см		1 год	производителем	1-100 *С	1.5				включения	1	1	1.8		нержавеющая сталь		Да	Да	Да		Да			1500						новый		нажатие		Китай		ТЭН			коричневый	отсутствует		отсутствует
	1.8	новый	27*22*27 см		1 год	производителем	100 *С	0.8				включения	1	1	2		керамика		Да	Да	Да					2200						новый		полностью съемная		Китай		ТЭН			белый	отсутствует		отсутствует
	1.27		22*16*19.7 см		1 год	производителем	100-100 *С	1				включения, уровня воды	1	1	1.7		пластик/ стекло		Да	Да	Да				Да	2200						новый		кнопка на корпусе		Китай		закрытая спираль	Да		черный	синий		отсутствует
	1.09	новый	25.3*20.3*15.3 см		1 год	производителем	55-100 *С	0.75			Да	включения, уровня воды, температуры	4		1.7		нержавеющая сталь		Да	Да	Да					2100		Да		Да		новый	Да	нажатие		Китай		закрытая спираль	Да	поддержание температуры	серый			
	1.355	новый	25*19*22 см		1 год	производителем	1-100 *С	1				включения, уровня воды	1	1	1.7		жаропрочное стекло		Да		Да		Да		Да	2200						новый		кнопка на корпусе		Китай		диск	Да		черный	синий		отсутствует
	0.95	новый	21.8*22*15.8 см		1 год	производителем	100 *С	0.75				включения, уровня воды	1	1	1.7		нержавеющая сталь/ пластик		Да	Да	Да		Да			2150						новый		кнопка на корпусе		Китай		закрытая спираль	Да		черный/ серебристый	отсутствует		отсутствует
	1	новый	25*22*18.5 см		1 год	производителем	100 *С	0.8				включения, уровня воды	1	1	1.7		стекло		Да	Да	Да		Да		Да	2200						новый		нажатие		Китай		ТЭН	Да		белый/ серебристый	голубой		отсутствует
	1.075	новый	24*19*19 см		1 год	производителем	100 *С					включения, уровня воды		1	1.8		термостойкое стекло		Да	Да					Да	1500						новый		нажатие		Китай		диск			черный	синий		отсутствует
	1.22	новый	32*18*17 см		1 год	производителем	100 *С	0.72				включения, уровня воды	1	1	1.5		пластик/ стекло		Да	Да	Да		Да		Да	2200						новый		нажатие		Китай		ТЭН	Да		черный	синий		отсутствует
	1.2	новый	24*18.5*22.3 см		2 года	производителем	20-40 *С	1			Да	включения, уровня воды	1	1	1.7		стекло		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		ТЭН	Да		черный	синий		отсутствует
	0.9	новый			2 года	производителем	100 *С	0.65				включения, уровня воды	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый		нажатие		Китай		ТЭН	Да		белый/ серый	отсутствует		отсутствует
	1.12	новый	21.4*22*15.3 см		1 год	производителем	40-100 *С	0.7	Да			включения, уровня воды, температуры	7	1	1.7		стекло/ нержавеющая сталь/ пластик		Да	Да	Да		Да		Да	2200		Да		Да		новый	Да	полностью съемная		Китай		диск	Да	заваривание чая, поддержание температуры	сиреневый/ нержавеющая сталь	разноцветный	Да	отсутствует
	1.1	новый	23.5*13*20 см		1 год	производителем	40-100 *С	1	Да			включения, уровня воды, температуры	7	1	1.7		нержавеющая сталь		Да	Да	Да					2200		Да		Да		новый		нажатие		Китай		ТЭН	Да	заваривание чая, поддержание температуры	серебристый	отсутствует		отсутствует
	0.89	новый	24.5*21.5*17.5 см		1 год	производителем	40-100 *С	0.75				включения, уровня воды, температуры	7	1	1.7		нержавеющая сталь		Да	Да			Да			2200		Да				новый		полностью съемная		Китай		диск	Да	поддержание температуры	черный	отсутствует	Да	отсутствует
	1.06		25.9*16.1*21.3 см		1 год	производителем	40-100 *С	0.8			Да	включения, уровня воды, температуры	5	2	1.5		нержавеющая сталь/ полипропилен		Да	Да			Да			1800		Да		Да		новый	Да	нажатие		Китай		закрытая спираль		поддержание температуры	черный			отсутствует
	0.9	новый	23*16*16 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	1	2		пластик		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		диск	Да		белый	отсутствует		отсутствует
	1.1		24.7*24.2*19.3 см		1 год	производителем	25-99 *С	0.75				включения, уровня воды, температуры	1	2	1.7		металл/ пластик		Да	Да	Да		Да			2150								полностью съемная		Китай		закрытая спираль	Да		бежевый		Да	отсутствует
	1.28	новый	27.5*20.5*22 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	1	1.7		стекло		Да	Да	Да		Да		Да	2200						новый		полностью съемная		Китай		скрытый нагревательный элемент	Да		стальной	синий		
	0.8	новый	23*16.3*21 см		1 год	производителем	10-100 *С	0.75			Да	включения, уровня воды	1		1.7		пластик		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		ТЭН	Да		слоновая кость	отсутствует		отсутствует
	0.8		25*21.6*15 см		1 год	производителем	4-90 *С	0.75				включения	1	2	2		пластик/ нержавеющая сталь		Да	Да	Да		Да			1800						новый		нажатие		Китай		закрытая спираль			черный			отсутствует
	1.4		25.1*14.2*23.5 см		1 год	производителем	30-100 *С	1		Да		включения, уровня воды	1	1	1.7		стекло/ пластик		Да		Да		Да		Да	2200						новый		нажатие		Китай		закрытая спираль	Да		черный	белый		отсутствует
	1.06		26.5*16*22 см		1 год	производителем	40-90 *С	1			Да	включения, температуры	5	2	1.7		нержавеющая сталь/ пластик		Да	Да	Да		Да		Да	2200		Да		Да			Да	кнопка на корпусе		Китай		закрытая спираль	Да	поддержание температуры	серый		Да	отсутствует
	0.88	новый	25.8*22.6*15.5 см		1 год	производителем	100 *С	0.7				включения, температуры	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2150						новый		полностью съемная		Китай		диск	Да		черный/ серебристый	отсутствует		отсутствует
	1.28		22*15*22 см		1 год	производителем	40-100 *С	0.75				включения, уровня воды	5	1	1.7		металл/ пластик		Да	Да	Да		Да		Да	2200		Да				новый		кнопка на корпусе		Китай		закрытая спираль	Да	поддержание температуры	стекло			отсутствует
	1		24*21*15.5 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1		1.7		стекло/ пластик/ металл		Да	Да	Да		Да			2200						новый				Китай		диск	Да		черный			отсутствует
	1	новый	24.2*21.5*15.5 см		1 год	производителем	50-100 *С	0.7				включения, уровня воды, температуры	1	1	1.7		стекло		Да	Да	Да		Да			2200		Да				новый		нажатие		Китай		скрытый нагревательный элемент	Да		нержавеющая сталь / черный			
	1.24		21*15.8*21 см		1 год	производителем	40-100 *С	0.75				включения, уровня воды, температуры	7	2	1.7		металл/ пластик		Да	Да	Да		Да			2200		Да				новый	Да	кнопка на корпусе		Китай		закрытая спираль	Да	поддержание температуры	черный		Да	отсутствует
	1.02		23*22*14 см		1 год	производителем	4-90 *С	0.75				включения, уровня воды	1	2	2		пластик/ стекло		Да	Да	Да		Да		Да	1800						новый		кнопка на корпусе		Китай		закрытая спираль			белый			отсутствует
	0.75		25.6*21.7*14.1 см		1 год	производителем	4-90 *С	0.75				включения	1	2	1.8		пластик/ нержавеющая сталь		Да	Да	Да		Да			1800						новый		кнопка на корпусе		Китай		закрытая спираль			черный			отсутствует
	0.74	новый	32*18*17 см		1 год	производителем	100 *С	0.72				включения, уровня воды	1	1	1		пластик/ стекло		Да	Да	Да		Да		Да	1100						новый		нажатие		Китай		ТЭН	Да		черный	синий		отсутствует
	0.8		25*21.6*15 см		1 год	производителем	4-90 *С	0.75				включения	1	2	2		пластик/ нержавеющая сталь		Да	Да	Да		Да			1800						новый		кнопка на корпусе		Китай		закрытая спираль			голубой			отсутствует
	1.02		23*22*14 см		1 год	производителем	4-90 *С	0.75				включения, уровня воды	1	2	2		пластик/ стекло		Да	Да	Да		Да		Да	1800						новый		кнопка на корпусе		Китай		закрытая спираль			черный			отсутствует
	1.2	новый	24*21*18 см		1 год	производителем	100 *С	0.75				включения, уровня воды	1	1	1.7		стекло закаленное		Да	Да			Да		Да	2300						новый		нажатие		Китай		диск	Да	поддержание температуры	прозрачный/ серебристый	синий		отсутствует
	1.5		22*15.5*22 см		1 год	производителем	40-100 *С	0.7				включения, уровня воды, температуры	1	2	1.7		металл/ пластик		Да	Да	Да		Да			2200		Да				новый	Да	кнопка на корпусе		Китай		закрытая спираль	Да		серый			отсутствует
	1.08	новый	24.5*19.5*19.5 см		1 год	производителем	1-100 *С	1				включения, уровня воды	1	1	1.8		жаропрочное стекло		Да	Да	Да		Да		Да	1500						новый		нажатие		Китай		диск			черный	синий		отсутствует
	1.4		22*26*15.4 см		1 год	производителем	100 *С	0.75				включения, уровня воды, температуры	1	1	1.7		сталь		Да	Да	Да		Да			2200						новый	Да	полностью съемная		Китай	Да	ТЭН	Да	снижения уровня шума	красный			отсутствует
	0.977		24.4*16.4*22.4 см		2 года	производителем	100 *С	0.75				включения	1	2	1.9		пластик/ нержавеющая сталь		Да	Да	Да		Да			1650						новый	Да	кнопка на корпусе		Китай		скрытый нагревательный элемент			белый			отсутствует
	0.72		24.1*15.5*21.5 см		1 год	продавцом	40-100 *С	0.8				включения	1	2	1.8		нержавеющая сталь/ пластик		Да	Да	Да		Да			1500						новый	Да	кнопка на корпусе		Китай		диск			черный	отсутствует		отсутствует
	1.04	новый	26*21*21 см		1 год	производителем	100-100 *С	0.7			Да	включения, уровня воды	1	2	1.7		полипропилен/ нержавеющая сталь		Да	Да	Да		Да			1500						новый		кнопка на корпусе		Китай		диск	Да		черный			отсутствует
	1		19*16*19 см		2 года	производителем	40-100 *С	0.8				включения, уровня воды, температуры	1		1.7		сталь		Да	Да	Да					2200										Китай		ТЭН			белый/ бронзовый			
	0.9	новый	24.2*20.6*14.8 см		1 год	производителем	100 *С	0.6				включения	1	1	1.7		стекло/ пластик		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		ТЭН			белый/ черный/ желтый	синий		отсутствует
	1.4		22*26*15.4 см		1 год	производителем	100 *С	0.75		Да		включения, уровня воды, температуры	1	1	1.7		сталь		Да	Да	Да		Да			2200						новый	Да	полностью съемная		Китай	Да	ТЭН	Да	снижения уровня шума	бежевый			отсутствует
	1.15	новый	24*21*18 см		6 месяцев	производителем	100 *С	0.73				включения, уровня воды	1	1	1.7		стекло/ пластик		Да	Да	Да		Да		Да	2200						новый		нажатие		Китай		ТЭН	Да		зеленый/ прозрачный			отсутствует
	2.64		25.5*39.7*22 см		1 год	производителем	60-100 *С	0.7	Да			включения, уровня воды	1	1	2		пластик/ нержавеющая сталь		Да	Да	Да				Да	1530		Да					Да	кнопка на корпусе		Китай		ТЭН		заваривание чая, поддержание температуры	серебристый/ черный/ прозрачный		Да	отсутствует
	0.99		24.8*24.7*14.4 см		1 год	производителем	5-100 *С	0.6				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да		Да	2200								кнопка на корпусе		Китай		диск	Да		серебристый/ голубой			отсутствует
	1.44	новый	25.2*24.2*18.2 см		1 год	производителем	40-100 *С	0.75	Да			включения, уровня воды, температуры	13	1	1.7		стекло/ нержавеющая сталь		Да	Да	Да		Да		Да	2200		Да				новый	Да	кнопка на корпусе		Китай		диск	Да	заваривание чая, поддержание температуры	стальной/ черный	синий	Да	
	0.66	новый	25.3*16.5*20.3 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	1	1.8		сталь		Да	Да	Да					1600						новый		нажатие		Китай		диск			черный матовый	отсутствует		отсутствует
	0.9	новый	32*18*17 см		1 год	производителем	40-100 *С	0.75				включения, уровня воды, температуры	7	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200		Да				новый	Да	полностью съемная		Китай		ТЭН	Да	поддержание температуры	серебристый/ черный	отсутствует	Да	отсутствует
	0.857	новый	20.5*23*15 см		1 год	производителем	5-100 *С	0.7				включения, уровня воды	1	1	1.7		нержавеющая сталь/ пластик/ термостекло		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		диск			белый/ металлик	отсутствует		
	1.1	новый	25.8*22.2*25.8 см		1 год	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		нажатие		Китай		закрытая спираль	Да		бронзовый	отсутствует		отсутствует
	0.9	новый	23*16*16 см		2 года	производителем	100-100 *С	0.7				включения, уровня воды	1	1	2		пластик		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		диск	Да		белый	отсутствует		отсутствует
	0.9		23*20*16 см		6 месяцев	производителем	100 *С	0.75				включения, уровня воды	1		1.8		металл		Да	Да	Да		Да			1500										Китай		закрытая спираль	Да		медный			
	1.256		25*20.5*20.5 см		1 год	производителем	10-100 *С	1				включения	1		1.5		стекло/ пластик		Да	Да	Да		Да			1500										Китай		закрытая спираль			черный			
	1.1				2 года	производителем	100-100 *С	0.7				включения, уровня воды	1		1.7		стекло/ пластик		Да	Да	Да		Да			2200										Китай		ТЭН	Да		черный			
	0.951		23*19.5*19 см		1 год	производителем	10-100 *С	1				включения	1		2		нержавеющая сталь/ пластик		Да	Да	Да		Да			1500										Китай		закрытая спираль			черный/ золотистый			
	1	новый	21.2*26.6*15.5 см		1 год	производителем	40-100 *С	0.7			Да	включения, уровня воды, температуры	6	2	1.7		металл/ пластик		Да	Да	Да		Да			2200		Да		Да		новый	Да	кнопка на корпусе		Китай		диск	Да	поддержание температуры	белый	отсутствует	Да	
	0.96		24*19*19 см		1 год	производителем	10-100 *С	1					1		1.8		стекло/ пластик		Да	Да	Да		Да			1500										Китай		закрытая спираль			бежевый			
	0.9	новый	23*20*16 см		6 месяцев	производителем	100 *С	0.8				включения, уровня воды	1	1	1.8		металл		Да	Да	Да		Да			1500						новый		нажатие		Китай		закрытая спираль	Да		нержавеющая сталь	отсутствует		отсутствует
	0.8	новый	21*16*20 см		2 года	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый		нажатие		Китай		диск	Да		черный	отсутствует		отсутствует
	1	новый	24.2*21.6*15.7 см		1 год	производителем	100 *С	0.7				включения, уровня воды	1	1	1.7		пластик/ металл		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		скрытый нагревательный элемент	Да		черный			
	1	новый	20.5*16*19 см		2 года	производителем	100-100 *С	1				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да					2200						новый		кнопка на корпусе		Китай		диск	Да		черный/ желтый	отсутствует		отсутствует
	1.2	новый	25*21*22 см		1 год	производителем	100-100 *С	0.8				включения, уровня воды	1	2	1.7		пластик		Да	Да	Да		Да			2400						новый		нажатие		Китай		диск	Да		белый/ черный			
	2	новый	22*21*17 см		2 года	производителем	40-100 *С	0.85				включения, уровня воды, температуры	7	1	1.7		стекло		Да	Да	Да		Да		Да	2200		Да				новый	Да	кнопка на корпусе		Китай		скрытый нагревательный элемент	Да	поддержание температуры	нержавеющая сталь	синий	Да	
	0.88	новый	23*17*20.3 см		6 месяцев	производителем	10-100 *С	0.8				включения	1	2	1.8		нержавеющая сталь		Да	Да	Да		Да			1500						новый		нажатие		Китай		ТЭН	Да		нержавеющая сталь	отсутствует		отсутствует
	0.957		24*19*19 см		1 год	производителем	10-100 *С	1					1		1.8		стекло/ пластик		Да	Да	Да		Да			1500										Китай		закрытая спираль			сиреневый			
	1.3	новый	23.5*21*16 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	1	1.7		стекло/ пластик		Да	Да	Да		Да		Да	2200						новый		полностью съемная		Китай		ТЭН	Да		черный	синий		отсутствует
	1	новый	23*17*16 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	1	1.7		стекло/ металл		Да	Да	Да				Да	2200						новый				Китай		диск	Да		черный/ серебристый	голубой		отсутствует
	1.4	новый			2 года	производителем	100-100 *С	0.8				включения, уровня воды	1	2	1.7		нержавеющая сталь/ пластик		Да	Да						2200						новый		кнопка на корпусе		Китай		диск	Да		графитовый	отсутствует		отсутствует
	1095	новый	20*20*20 см		1 год	производителем	10-95 *С	0.5				включения, уровня воды	1	1	1.8		пластик/ нержавеющая сталь		Да	Да	Да		Да		Да	220						новый		кнопка на корпусе		Китай		закрытая спираль			красный			
	0.9	новый	19*22*22 см		1 год	производителем	100-100 *С	0.8				включения, уровня воды	1	2	1.7		пластик		Да	Да					Да	2200						новый		нажатие		Китай		диск	Да		черный	синий		отсутствует
	1.24		24.2*16.1*21 см		1 год	производителем	40-100 *С	0.8			Да	включения, уровня воды, температуры	6	1	1.7		стекло		Да	Да			Да		Да	2200		Да				новый	Да	нажатие		Китай		скрытый нагревательный элемент	Да	поддержание температуры	белое стекло/ нержавеющая сталь		Да	отсутствует
	0.9	новый			2 года	производителем	100 *С	0.65				включения, уровня воды	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый		нажатие		Китай		ТЭН	Да		белый/ бежевый	отсутствует		отсутствует
	1.09	новый	24*19.5*19.5 см		1 год	производителем	100 *С					включения, уровня воды	1	1	1.8		термостойкое стекло		Да	Да					Да	1500						новый		нажатие		Китай		диск			черный	синий		отсутствует
	1	новый	23*21*17.5 см		1 год	производителем	100-100 *С	0.7				уровня воды, температуры	1	1	1.7		нержавеющая сталь		Да	Да	Да					2200						новый		кнопка на корпусе		Китай		ТЭН	Да		серый	отсутствует		отсутствует
	1	новый	21.5*17.5*19.5 см		2 года	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		диск	Да		сиреневый/ черный			
	1.163		25.5*17*22 см		1 год	производителем	10-100 *С	1				включения	1		1.8		нержавеющая сталь/ пластик		Да	Да	Да		Да			2200										Китай		закрытая спираль			черный			
	1.058		23.5*19.5*19.5 см		1 год	производителем	10-100 *С	1					1		1.8		стекло/ пластик		Да	Да	Да		Да			1500										Китай		закрытая спираль			черный			
	1.3		23.5*21*16 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1	1	1.7		термостекло		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		скрытый нагревательный элемент	Да		прозрачный			отсутствует
	0.8	новый	21*16*20 см		2 года	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый		нажатие		Китай		диск	Да		черный	отсутствует		отсутствует
	0.82	новый	21*20*16 см		2 года	производителем	100 *С	0.75				включения, уровня воды	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый		нажатие		Китай		закрытая спираль	Да		красный	отсутствует		отсутствует
	1.1	новый	21*19*15 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		диск	Да		серебристый	синий		отсутствует
	1.6	новый	24.6*17.1*22.3 см		1 год	производителем	40-99 *С	1				включения, уровня воды	1	1	1.7		нержавеющая сталь/ пластик		Да	Да	Да		Да			2400						новый	Да	кнопка на корпусе		Китай		ТЭН	Да	поддержание температуры	черный			
	1.1	новый	23.5*18*22 см		1 год	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		стекло/ пластик		Да	Да	Да		Да		Да	2200						новый		нажатие		Китай		диск	Да		черный	синий		отсутствует
	1.096	новый	20*20*20 см		1 год	производителем	10-95 *С	0.5				включения, уровня воды	1	1	1.8		пластик/ нержавеющая сталь		Да	Да	Да		Да		Да	220						новый		кнопка на корпусе		Китай		закрытая спираль			серый			
	0.97	новый	41*30*25 см		1 год	производителем	100 *С	1.2				включения, уровня воды	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый		нажатие		Китай		диск	Да		черный	отсутствует		отсутствует
	1.2	новый	24*21.5*21.5 см		2 года	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		термостойкое стекло/ пластик		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		диск	Да		черный	синий		
	1	новый	22.5*14*19.5 см		1 год	производителем	100-100 *С	1.5				включения, уровня воды	1	1	1.7		термостойкий пластик		Да	Да	Да		Да			3000						новый		нажатие		Китай		диск	Да		черный	отсутствует		отсутствует
	1.2	новый	24*21.5*21.5 см		2 года	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		термостойкое стекло/ пластик		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		диск	Да		черный	синий		
	1	новый	21*16*19 см		2 года	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		нажатие		Китай		ТЭН	Да		античная бронза/ черный	отсутствует		отсутствует
	1.96	новый	37.5*24.5*23.5 см		2 года	производителем	100 *С	0.6	Да			включения, уровня воды	1	1	1.8		сталь		Да	Да	Да					2220						новый	Да	нажатие		Китай		диск	Да	заваривание чая, поддержание температуры	стальной/ черный	отсутствует		отсутствует
	1.2		26.8*21.9*16 см		1 год	производителем	100-100 *С	0.75				включения	1		1.7		пластик		Да	Да	Да		Да			1800						новый				Китай		скрытый нагревательный элемент			белый			отсутствует
	1.25	новый			1 год	производителем	70-100 *С	0.7				включения, уровня воды, температуры	4	1	1.8		стекло/ пластик		Да	Да						2200		Да		Да		новый		кнопка на корпусе		Китай		диск	Да	поддержание температуры	черный	отсутствует	Да	отсутствует
	1.6	новый	24.6*17.1*22.3 см		1 год	производителем	100 *С	1				включения, уровня воды	1	1	1.7		нержавеющая сталь/ пластик		Да	Да	Да		Да			2400						новый		кнопка на корпусе		Китай		ТЭН	Да		белый глянцевый			
	1.25				1 год	производителем	70-100 *С	0.7				включения, уровня воды, температуры	4		1.8		металл/ пластик		Да	Да						2200		Да		Да						Китай		диск	Да	поддержание температуры	черный		Да	
	0.89	новый	23.5*17*20.5 см		1 год	производителем	1-100 *С	1.5				включения	1	1	1.8		нержавеющая сталь		Да	Да	Да		Да			1500						новый		нажатие		Китай		ТЭН			бордовый	отсутствует		отсутствует
	1.055	новый	24*18*19 см		1 год	производителем	1-100 *С	1				включения	1	1	2		нержавеющая сталь/ пластик		Да	Да	Да		Да			2000						новый		нажатие		Китай		диск			серебристый	отсутствует		отсутствует
	1	новый	23*15*19 см		2 года	производителем	100-100 *С	0.8				уровня воды	1	1	1.5		нержавеющая сталь/ пластик		Да	Да	Да		Да			2200						новый		нажатие		Китай		диск	Да		бежевый/ красный/ серебристый	отсутствует		отсутствует
	1	новый	22*19*18 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	1	1.7		пластик		Да	Да	Да					2200						новый		полностью съемная		Китай		диск	Да		белый	отсутствует		отсутствует
	1.3	новый			1 год	производителем	100-100 *С	1				включения, уровня воды	1	1	1.7		стекло/ металл/ пластик		Да	Да	Да				Да	2200						новый		нажатие		Китай		диск	Да		серебристый/ черный	синий		отсутствует
	1.4	новый	24.9*22.4*17.5 см		1 год	производителем	100-100 *С	0.8				уровня воды		1	1.7		нержавеющая сталь		Да	Да	Да					2200						новый		полностью съемная		Китай		закрытая спираль	Да		серый	отсутствует		отсутствует
	0.9		22.6*14.5*21.5 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1		1.8		боросиликатное стекло/ нержавеющая сталь/ пластик		Да	Да	Да		Да			2000						новый				Китай		диск	Да		стальной/ черный/ прозрачный			отсутствует
	0.715	новый	23*17*20 см		1 год	производителем	1-100 *С	1				включения	1	1	1.8		нержавеющая сталь/ пластик		Да	Да	Да		Да			1500						новый		нажатие		Китай		диск			серый	отсутствует		отсутствует
	1.197		24.5*20*20 см		1 год	производителем	10-100 *С	1				включения	1		1.5		стекло/ пластик		Да	Да	Да		Да			1500										Китай		закрытая спираль			бежевый			
	1	новый	22.5*17.5*21.5 см		2 года	производителем	100-100 *С	1.2				включения, уровня воды, температуры	1		1.7		пластик/ металл		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		диск	Да		белый	отсутствует		отсутствует
	0.65				1 год	производителем	100 *С					включения	1		1.7		пластик/ термостекло		Да		Да		Да			2200										Китай		ТЭН	Да		черный			
	0.98	новый	26*17.5*20.5 см		1 год	производителем	10-95 *С	0.5				включения	1	2	2.3		пластик/ нержавеющая сталь		Да	Да	Да		Да			220						новый		кнопка на корпусе		Китай		закрытая спираль	Да		черный			
	1	новый	24.2*21.5*15.5 см		1 год	производителем	60-100 *С	0.6			Да	включения, уровня воды	1	1	1.7		термостекло/ пластик/ нержавеющая сталь		Да	Да	Да		Да		Да	2200		Да				новый		кнопка на корпусе		Китай		диск	Да		стальной/ черный/ прозрачный			
	1	новый	24*18.5*20 см		2 года	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		термостойкое стекло/ пластик		Да	Да	Да		Да		Да	2200						новый		нажатие		Китай		диск	Да		бежевый	отсутствует		отсутствует
	1	новый	24*17.5*20.5 см		2 года	производителем	100-100 *С	0.8				включения, уровня воды	1	2	1.5		нержавеющая сталь		Да	Да			Да			2200						новый		полностью съемная		Китай		скрытый нагревательный элемент	Да		молочный			
	1	новый	25*20.5*22 см		2 года	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		термостойкое стекло		Да	Да	Да		Да		Да	2200						новый		полностью съемная		Китай		скрытый нагревательный элемент	Да		бежевый	голубой		
	1.33		27*18*22 см		1 год	производителем	40-100 *С	0.6				включения	1	1	1.7		пластик/ стекло		Да	Да			Да		Да	2200						новый		кнопка на корпусе		Китай		закрытая спираль			черный	голубой		отсутствует
	1.3		26*18*22 см		1 год	производителем	40-100 *С	0.6				включения, уровня воды, температуры	6	1	1.7		нержавеющая сталь/ пластик		Да	Да			Да			2200		Да		Да		новый	Да	кнопка на корпусе		Китай		закрытая спираль		поддержание температуры	мерцающий черный	голубой	Да	отсутствует
	1.2	новый	22.5*17.5*21 см		2 года	производителем	20-100 *С	0.9		Да		включения, уровня воды, температуры	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		полностью съемная		Китай		диск			белый/ бронзовый	отсутствует		отсутствует
	0.92		24.2*21.5*15.6 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200								кнопка на корпусе		Китай		ТЭН	Да		белый/ синий/ голубой			отсутствует
	1.17		27*23*20 см		2 года	производителем	40-100 *С	0.7				включения, уровня воды	1		1.7		нержавеющая сталь/ пластик		Да	Да	Да					2400										Китай		скрытый нагревательный элемент	Да		красный			
	1	новый	24*17*20.5 см		2 года	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		термостойкий пластик		Да	Да	Да		Да			3000						новый		нажатие		Китай		скрытый нагревательный элемент	Да		черный			
	0.9	новый	22.5*15.6*20 см		1 год	производителем	20-100 *С	0.75			Да	включения, уровня воды, температуры	1	1	1.7		пластик		Да	Да	Да					2200						новый		нажатие		Китай		ТЭН	Да		черный	отсутствует		отсутствует
	1	новый	20.5*16*19 см		2 года	производителем	100-100 *С	1				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		полностью съемная		Китай		диск	Да		черный/ золотистый	отсутствует		отсутствует
