@RELATION teapots

@ATTRIBUTE AIHelper {true, false}
@ATTRIBUTE Weight NUMERIC
@ATTRIBUTE IsNew {true, false}
@ATTRIBUTE Width NUMERIC
@ATTRIBUTE Length NUMERIC
@ATTRIBUTE Height NUMERIC
@ATTRIBUTE Warranty {No, HalfYear, OneYear, OneAndHalfYear, TwoYears, ThreeYears}
@ATTRIBUTE WarrantyProvidedBySeller {true, false}
@ATTRIBUTE PowerCordLength STRING
@ATTRIBUTE TeaBrewing {true, false}
@ATTRIBUTE WaterFillingWithoutOpening {true, false}
@ATTRIBUTE SoundSignalOnBoil {true, false}
@ATTRIBUTE IndicationTemperature {true, false}
@ATTRIBUTE IndicationWaterLevel {true, false}
@ATTRIBUTE IndicationSwitchingOn {true, false}
@ATTRIBUTE HeatingModesCount NUMERIC
@ATTRIBUTE WallsCount NUMERIC
@ATTRIBUTE MaxVolume NUMERIC
@ATTRIBUTE BodyMaterial STRING
@ATTRIBUTE AutoShutOffNoWater {true, false}
@ATTRIBUTE AutoShutOffOnLift {true, false}
@ATTRIBUTE DelayedStart {true, false}
@ATTRIBUTE Country {Китай, Россия, Турция, США, Германия}
@ATTRIBUTE Functions STRING

@DATA
false,-0.04503450777842791,false,0.6294661369765189,-1.3873515679219066,-0.14583981823549566,OneYear,true,'0.8',false,false,false,false,false,true,1,1,0.129382652254913,'пластик_сталь',true,true,false,Китай,'?'
false,-0.052109618636649244,false,22.933072679384143,-2.3723268648538194,-2.9628738968975195,OneYear,false,'0.7',false,false,false,true,false,true,6,2,-1.7013755780943107,'пластик_металл',true,false,false,Китай,'шумоподавление_поддержание_температуры'
false,-0.02557795291831927,true,1.2490107631545084,-0.6134424060468319,1.1596149987054425,OneYear,false,'0.7',false,false,false,true,true,true,1,1,-0.00138579277003169,'сталь',true,true,false,Китай,'?'
false,-0.029999897204707603,true,0.8359810123691821,-1.0824782617286952,0.8160742574051957,OneYear,false,'0.6',false,false,false,false,false,true,1,2,-0.26292268281992076,'пластик_сталь',true,true,false,Китай,'?'
false,-0.02557795291831927,true,0.8153295248299155,0.9109241249192241,0.6443038867550723,OneYear,false,'0.7',false,false,true,true,true,true,6,1,-0.00138579277003169,'стекло',true,true,false,Китай,'поддержание_температуры'
false,-0.023809175203763938,true,-0.11398741443706882,0.11356317026005677,0.30076314545482546,TwoYears,false,'0.9',false,false,false,false,true,true,1,1,-0.26292268281992076,'пластик',true,true,false,Китай,'?'
false,-0.02557795291831927,true,1.2490107631545084,-0.6134424060468319,1.1596149987054425,OneYear,false,'0.7',false,false,false,true,true,true,1,1,-0.00138579277003169,'сталь',true,true,false,Китай,'?'
false,-0.032947860062299814,true,-0.6509260904579927,0.18391854861233561,0.47253351610494887,OneYear,false,'0.6',false,false,true,true,true,true,7,1,-0.00138579277003169,'пластик_сталь_стекло',true,true,false,Китай,'поддержание_температуры'
false,-0.033861728548153405,true,1.1044503503796443,-0.9652192978082293,0.33511721958485063,TwoYears,false,'0.5',false,false,false,false,true,true,1,1,-0.00138579277003169,'пластик',true,true,false,Китай,'?'
false,0.024537415660748442,true,0.6294661369765189,4.311434078612733,0.9878446280553191,OneYear,false,'0.75',true,false,true,true,true,false,2,1,-0.00138579277003169,'сталь_стекло',true,true,false,Китай,'поддержание_температуры_заваривание_чая'
false,-0.02852591577591149,true,-0.7128805530757918,0.4418882692373608,-0.21454796649554478,OneYear,false,'0.72',false,false,false,false,true,true,1,1,-0.26292268281992076,'сталь_стекло',true,true,false,Китай,'?'
false,-0.031473878633503705,false,-0.7128805530757918,0.5591472331578267,0.47253351610494887,OneYear,false,'0.7',false,true,true,true,false,true,5,2,-0.00138579277003169,'пластик_металл',true,true,false,Китай,'поддержание_температуры'
false,-0.02557795291831927,true,0.8772839874477146,-0.027147586444502582,0.9878446280553191,OneYear,false,'0.7',false,false,true,true,true,true,5,1,-0.00138579277003169,'пластик_металл',true,true,false,Китай,'поддержание_температуры'
false,-0.02439876777528238,true,0.42295126158385576,0.9109241249192241,1.1596149987054425,OneYear,false,'1',false,false,true,true,true,true,66,1,0.3909195423048021,'пластик_сталь_стекло',true,true,false,Китай,'поддержание_температуры'
false,-0.03589582291989204,true,0.5262086992801873,0.06665958469186976,-0.1801938923655196,OneYear,false,'0.7',false,false,false,false,true,true,1,1,-0.00138579277003169,'пластик',true,true,false,Китай,'?'
false,-0.036780211777169704,true,-0.19659336459413382,0.4418882692373608,0.12899277480470206,ThreeYears,false,'0.7',false,false,false,false,true,true,5,2,-0.00138579277003169,'стекло_металл',true,true,true,Китай,'поддержание_температуры'
false,-0.016734064345542612,false,-0.38245675244753036,0.5825990259419201,0.40382536784489975,OneYear,false,'1',false,false,false,false,true,true,1,1,-0.00138579277003169,'сталь',true,true,false,Китай,'?'
false,-0.040317767206280365,true,-0.403108239986797,0.2073703413964291,-0.9016294490960385,OneYear,false,'0.68',false,false,false,true,true,true,1,1,-0.00138579277003169,'сталь',true,true,false,Китай,'?'
false,-0.027936323204393047,true,0.774026549751383,0.2073703413964291,0.47253351610494887,OneYear,false,?,false,false,true,true,true,true,5,1,-0.00138579277003169,'металл',true,true,false,Китай,'поддержание_температуры'
false,-0.03501143406261437,true,-0.6096231153794601,0.7936651609987584,-0.24890204062556995,OneYear,false,'0.75',false,false,false,false,true,true,1,?,-0.00138579277003169,'сталь',true,true,false,Китай,'?'
false,-0.016734064345542612,false,-0.38245675244753036,0.5825990259419201,0.40382536784489975,OneYear,false,'1',false,false,false,false,true,true,1,1,-0.00138579277003169,'сталь',true,true,false,Китай,'?'
false,-0.031473878633503705,true,0.36099679896605663,-1.1293818472968813,0.23205499719477635,OneYear,false,'0.7',false,false,true,true,true,true,5,1,-0.00138579277003169,'стекло_металл',true,true,false,Китай,'поддержание_температуры'
false,-0.031473878633503705,false,-0.6509260904579927,0.3480810981009885,-0.3176101888856191,OneYear,false,'0.7',false,true,false,false,true,true,1,1,0.129382652254913,'пластик_стекло_металл',true,true,false,Китай,'?'
